daty;WIBOR_1M;WIBOR_3M;WIBOR_6M;SWAP_1Y;SWAP_2Y;SWAP_3Y;SWAP_4Y;SWAP_5Y;SWAP_6Y;SWAP_7Y;SWAP_8Y;SWAP_9Y;SWAP_10Y
2005-10-31;4,605714286;4,545238095;4,5;4,525238095;4,576666667;4,692380952;4,802857143;4,862380952;4,864761905;4,863809524;4,867619048;4,864761905;4,862857143
2005-11-30;4,621;4,6385;4,685;4,81475;4,944;5,078;5,1985;5,2815;5,3075;5,324;5,3305;5,338;5,341
2005-12-30;4,6;4,616666667;4,6545;4,720571429;4,822380952;4,92047619;5,013380952;5,073571429;5,092380952;5,091904762;5,097619048;5,10052381;5,095761905
2006-01-31;4,521818182;4,486363636;4,465454545;4,433;4,537090909;4,653318182;4,753681818;4,828954545;4,853545455;4,857636364;4,869681818;4,873772727;4,875636364
2006-02-28;4,291;4,2615;4,228;4,213421053;4,291052632;4,418157895;4,528421053;4,602631579;4,643894737;4,667578947;4,684210526;4,696315789;4,706315789
2006-03-31;4,137826087;4,121304348;4,106956522;4,153043478;4,246217391;4,393695652;4,522608696;4,613695652;4,668043478;4,704347826;4,725217391;4,74326087;4,755434783
2006-04-28;4,127368421;4,14;4,159444444;4,23635;4,39585;4,58445;4,7279;4,8283;4,8919;4,9415;4,9733;4,9985;5,0105
2006-05-31;4,124761905;4,153809524;4,208095238;4,313043478;4,559956522;4,770782609;4,911;5,014478261;5,086043478;5,136;5,169782609;5,195217391;5,208347826
2006-06-30;4,117142857;4,174761905;4,284285714;4,535181818;4,935636364;5,163090909;5,288727273;5,367136364;5,423772727;5,461545455;5,486954545;5,498409091;5,508772727
2006-07-31;4,116666667;4,193333333;4,302380952;4,590761905;5,061285714;5,305142857;5,402619048;5,45652381;5,49352381;5,515857143;5,530952381;5,543904762;5,555333333
2006-08-31;4,124545455;4,194090909;4,271363636;4,601391304;5,016173913;5,258173913;5,374782609;5,443782609;5,480695652;5,505478261;5,524130435;5,539826087;5,553565217
2006-09-29;4,128571429;4,209047619;4,376190476;4,725047619;5,076857143;5,243571429;5,331190476;5,372380952;5,396952381;5,408761905;5,417190476;5,426619048;5,433952381
2006-10-31;4,136363636;4,216818182;4,405909091;4,694863636;4,998636364;5,153318182;5,240090909;5,284454545;5,306818182;5,315909091;5,325454545;5,328181818;5,333636364
2006-11-30;4,126190476;4,197142857;4,336190476;4,563909091;4,831590909;4,961363636;5,027045455;5,056045455;5,072045455;5,087727273;5,094727273;5,102545455;5,111045455
2006-12-29;4,122105263;4,199473684;4,31;4,521095238;4,726904762;4,840714286;4,911666667;4,954285714;4,981904762;5,0017;5,014761905;5,024380952;5,035333333
2007-01-31;4,121818182;4,197272727;4,294545455;4,496;4,695434783;4,818478261;4,907608696;4,969347826;5,008043478;5,036304348;5,055869565;5,071086957;5,079782609
2007-02-28;4,1185;4,198;4,2795;4,5209;4,764;4,901;4,9908;5,048;5,0828;5,103035;5,1181;5,1271;5,1382
2007-03-30;4,130454545;4,217272727;4,373636364;4,605272727;4,818727273;4,935227273;5,008636364;5,053863636;5,08;5,102486364;5,113272727;5,124045455;5,129090909
2007-04-30;4,238;4,3165;4,494;4,738238095;4,938904762;5,048095238;5,111904762;5,151571429;5,176904762;5,1957;5,213809524;5,227571429;5,238190476
2007-05-31;4,39952381;4,439047619;4,577142857;4,804347826;5,024304348;5,133704348;5,197826087;5,233652174;5,258304348;5,270117391;5,278173913;5,286956522;5,295652174
2007-06-29;4,438;4,515;4,683;4,998428571;5,310657143;5,451638095;5,524866667;5,564966667;5,585138095;5,593619048;5,597047619;5,602571429;5,607728571
2007-07-31;4,685;4,780454545;4,939090909;5,300995455;5,536481818;5,627245455;5,662831818;5,684204545;5,691759091;5,692090909;5,6935;5,693954545;5,693968182
2007-08-31;4,771818182;4,908636364;5,082272727;5,384608696;5,603478261;5,675869565;5,705217391;5,718347826;5,719043478;5,719695652;5,721434783;5,721434783;5,721652174
2007-09-28;4,957;5,091;5,231;5,40375;5,52575;5,59075;5,62325;5,643;5,651;5,65525;5,65775;5,6585;5,6605
2007-10-31;4,971304348;5,128695652;5,286086957;5,440478261;5,545695652;5,588826087;5,60873913;5,620434783;5,62173913;5,619130435;5,619782609;5,618043478;5,61673913
2007-11-30;5,122380952;5,363809524;5,581904762;5,832272727;5,949590909;5,958181818;5,933909091;5,895454545;5,849318182;5,805909091;5,764318182;5,725909091;5,699318182
2007-12-31;5,616315789;5,666842105;5,933684211;6,196619048;6,202238095;6,140619048;6,075619048;6,025238095;5,970952381;5,922380952;5,876428571;5,838809524;5,809047619
2008-01-31;5,43;5,642727273;5,938636364;6,079869565;6,06426087;5,999;5,954826087;5,908695652;5,878695652;5,845565217;5,81826087;5,793913043;5,770217391
2008-02-29;5,533809524;5,742857143;5,941904762;6,111047619;6,026333333;5,96502381;5,920547619;5,886904762;5,856714286;5,834666667;5,8175;5,805119048;5,796690476
2008-03-31;5,8215;6,0265;6,3125;6,424047619;6,293571429;6,166666667;6,074047619;6,00347619;5,938380952;5,888571429;5,848571429;5,82;5,802857143
2008-04-30;6,106818182;6,291363636;6,487272727;6,493681818;6,261727273;6,085727273;5,992;5,924136364;5,868454545;5,8285;5,802363636;5,783954545;5,780227273
2008-05-30;6,1845;6,4145;6,5515;6,598363636;6,393909091;6,236090909;6,141409091;6,075727273;6,018545455;5,971818182;5,936636364;5,908727273;5,897727273
2008-06-30;6,254285714;6,575714286;6,727142857;6,905666667;6,826761905;6,712809524;6,627904762;6,554761905;6,488333333;6,419761905;6,356809524;6,297857143;6,245238095
2008-07-31;6,27173913;6,62;6,744782609;6,864956522;6,685782609;6,581608696;6,504130435;6,450434783;6,39673913;6,347956522;6,301956522;6,259130435;6,222173913
2008-08-29;6,253;6,521;6,6155;6,576238095;6,27752381;6,127761905;6,043952381;5,989047619;5,953095238;5,925714286;5,900714286;5,881428571;5,864761905
2008-09-30;6,306363636;6,558181818;6,612272727;6,480045455;6,132545455;5,927727273;5,804227273;5,724318182;5,6675;5,626454545;5,592590909;5,564772727;5,545454545
2008-10-31;6,540434783;6,796956522;6,83;6,455173913;6,141304348;5,997391304;5,921304348;5,864565217;5,827391304;5,777608696;5,737826087;5,705434783;5,674782609
2008-11-28;6,467368421;6,739473684;6,801578947;5,8312;5,56085;5,46815;5,44805;5,43475;5,411;5,391;5,36675;5,34865;5,3316
2008-12-31;6,111904762;6,378571429;6,426190476;4,845;4,657695652;4,517565217;4,459565217;4,446826087;4,47;4,498608696;4,530826087;4,558652174;4,58173913
2009-01-30;5,23952381;5,506190476;5,601904762;4,167913636;4,25;4,2275;4,258272727;4,313545455;4,378272727;4,448181818;4,518818182;4,589772727;4,665090909
2009-02-27;4,408421053;4,686470588;4,761578947;4,315275;4,70085;4,8159;4,90335;4,96735;5,0196;5,0685;5,1076;5,15175;5,1853
2009-03-31;3,972272727;4,299090909;4,373181818;4,178636364;4,5985;4,809318182;4,962727273;5,059727273;5,114045455;5,164363636;5,193181818;5,225909091;5,253090909
2009-04-30;3,643333333;4,204761905;4,317619048;4,090545455;4,500590909;4,748954545;4,926727273;5,038045455;5,108318182;5,154;5,177090909;5,202818182;5,220636364
2009-05-29;3,9485;4,5155;4,6215;4,446095238;4,794761905;5,045619048;5,228571429;5,321857143;5,380190476;5,428095238;5,460333333;5,480333333;5,483619048
2009-06-30;3,952857143;4,598095238;4,72952381;4,536136364;4,961681818;5,209590909;5,395590909;5,500454545;5,564818182;5,616;5,639181818;5,663090909;5,676681818
2009-07-31;3,617391304;4,25826087;4,454782609;4,294304348;4,804652174;5,081869565;5,254217391;5,352782609;5,415652174;5,459130435;5,482043478;5,500086957;5,512173913
2009-08-31;3,526190476;4,159047619;4,335238095;4,352142857;4,899142857;5,201285714;5,379904762;5,479857143;5,52047619;5,54;5,55152381;5,551190476;5,556190476
2009-09-30;3,522727273;4,177272727;4,334545455;4,472954545;5,044318182;5,361727273;5,524227273;5,595909091;5,623636364;5,62;5,624090909;5,612409091;5,598772727
2009-10-30;3,523181818;4,183636364;4,325454545;4,406545455;4,946045455;5,268363636;5,436818182;5,503636364;5,536818182;5,546;5,554181818;5,554;5,545954545
2009-11-30;3,538;4,1915;4,303;4,437238095;4,966;5,326;5,51052381;5,599;5,625619048;5,629333333;5,625761905;5,625095238;5,624285714
2009-12-31;3,675454545;4,232272727;4,329545455;4,496521739;5,032217391;5,395869565;5,593086957;5,692608696;5,719521739;5,72373913;5,722304348;5,721565217;5,723391304
2010-01-29;3,6425;4,237;4,358;4,520190476;5,009285714;5,335904762;5,527857143;5,633238095;5,671714286;5,691095238;5,694761905;5,69547619;5,696380952
2010-02-26;3,624;4,1725;4,2645;4,4705;4,976;5,2955;5,4785;5,589;5,6523;5,68725;5,70195;5,70605;5,70625
2010-03-31;3,620869565;4,129130435;4,23173913;4,383130435;4,844565217;5,14673913;5,327608696;5,427608696;5,499695652;5,544782609;5,573869565;5,590608696;5,594782609
2010-04-30;3,608571429;3,921904762;4,088571429;4,115272727;4,524681818;4,786590909;4,974318182;5,103409091;5,190863636;5,256363636;5,306;5,340681818;5,3625
2010-05-31;3,6175;3,854;4,008;4,068857143;4,512380952;4,819047619;5,037857143;5,192380952;5,305238095;5,386904762;5,447857143;5,492142857;5,511666667
2010-06-30;3,62952381;3,855238095;3,998571429;4,105454545;4,521363636;4,798863636;5,005;5,155227273;5,255636364;5,321818182;5,367409091;5,396045455;5,411136364
2010-07-30;3,619545455;3,835454545;3,995;4,175727273;4,608409091;4,852727273;5,026363636;5,154090909;5,241363636;5,302636364;5,343545455;5,371272727;5,379318182
2010-08-31;3,602272727;3,812272727;3,992272727;4,194454545;4,607272727;4,821363636;4,941363636;5,013863636;5,050318182;5,071454545;5,080136364;5,081727273;5,0725
