Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2012-05-31,4.97,5.13,4.97,5.13
2012-06-29,5.14,5.14,5.13,5.14
2012-07-31,5.14,5.17,5.14,5.14
2012-08-31,5.14,5.14,5.01,5.01
2012-09-28,4.99,4.99,4.94,4.94
2012-10-31,4.94,4.94,4.73,4.73
2012-11-30,4.72,4.72,4.46,4.46
2012-12-31,4.43,4.43,4.08,4.08
2013-01-31,4.06,4.06,3.91,3.91
2013-02-28,3.9,3.9,3.67,3.67
2013-03-29,3.66,3.66,3.39,3.39
2013-04-30,3.39,3.39,3.03,3.03
2013-05-31,3.02,3.02,2.66,2.66
2013-06-28,2.67,2.71,2.66,2.71
2013-07-31,2.71,2.71,2.7,2.71
2013-08-30,2.71,2.73,2.71,2.73
2013-09-30,2.73,2.73,2.7,2.71
2013-10-31,2.71,2.71,2.7,2.7
2013-11-29,2.7,2.7,2.7,2.7
2013-12-31,2.7,2.72,2.69,2.72
2014-01-31,2.72,2.73,2.72,2.73
2014-02-28,2.73,2.74,2.73,2.74
2014-03-31,2.74,2.74,2.74,2.74
2014-04-30,2.74,2.74,2.74,2.74
2014-05-30,2.74,2.75,2.74,2.74
2014-06-30,2.74,2.74,2.69,2.69
2014-07-31,2.69,2.69,2.69,2.69
2014-08-29,2.69,2.69,2.6,2.6
2014-09-30,2.59,2.59,2.25,2.25
2014-10-31,2.23,2.23,1.95,1.95
2014-11-28,1.94,2.05,1.94,2.05
2014-12-31,2.05,2.05,2.05,2.05
2015-01-30,2.05,2.05,1.99,1.99
2015-02-27,1.98,1.98,1.8,1.8
2015-03-31,1.8,1.8,1.66,1.66
2015-04-30,1.66,1.66,1.66,1.66
2015-05-29,1.66,1.76,1.66,1.76
2015-06-30,1.76,1.79,1.76,1.79
2015-07-31,1.79,1.79,1.79,1.79
2015-08-31,1.79,1.8,1.79,1.8
2015-09-30,1.8,1.81,1.8,1.81
2015-10-30,1.81,1.81,1.8,1.8
2015-11-30,1.8,1.8,1.8,1.8
2015-12-31,1.8,1.8,1.77,1.77
2016-01-29,1.77,1.77,1.75,1.75
2016-02-29,1.75,1.75,1.74,1.74
2016-03-31,1.74,1.74,1.74,1.74
2016-04-29,1.74,1.74,1.74,1.74
2016-05-31,1.74,1.74,1.74,1.74
2016-06-30,1.74,1.79,1.74,1.79
2016-07-29,1.79,1.79,1.79,1.79
2016-08-31,1.79,1.79,1.79,1.79
2016-09-30,1.79,1.79,1.79,1.79
2016-10-31,1.79,1.8,1.79,1.8
2016-11-30,1.8,1.81,1.8,1.81
2016-12-30,1.81,1.81,1.81,1.81
2017-01-31,1.81,1.81,1.81,1.81
2017-02-28,1.81,1.81,1.81,1.81
2017-03-31,1.81,1.81,1.81,1.81
2017-04-28,1.81,1.81,1.81,1.81
2017-05-31,1.81,1.81,1.81,1.81
2017-06-30,1.81,1.81,1.81,1.81
2017-07-31,1.81,1.81,1.81,1.81
2017-08-31,1.81,1.81,1.81,1.81
2017-09-29,1.81,1.81,1.81,1.81
2017-10-31,1.81,1.81,1.81,1.81
2017-11-30,1.81,1.81,1.81,1.81
2017-12-29,1.81,1.81,1.81,1.81
2018-01-31,1.81,1.81,1.81,1.81
2018-02-28,1.81,1.81,1.81,1.81
2018-03-30,1.81,1.81,1.78,1.78
2018-04-30,1.78,1.78,1.78,1.78
2018-05-31,1.78,1.78,1.78,1.78
2018-06-29,1.78,1.78,1.78,1.78
2018-07-31,1.78,1.78,1.78,1.78
2018-08-31,1.78,1.79,1.78,1.79
2018-09-28,1.79,1.79,1.79,1.79
2018-10-31,1.79,1.79,1.79,1.79
2018-11-30,1.79,1.79,1.79,1.79
